title,artist,msg_id,from_peer
change,arin ray,8001,342768303
motivation,normani,8002,342768303
keeping it in the dark (from 13 reasons why - season 3 soundtrack),daya,8003,342768303
circles,post malone,8004,342768303
won't be late (feat. drake),swae lee,8005,342768303
how do you sleep? (acoustic),sam smith,8006,342768303
blame it on your love (feat. lizzo),charli xcx,8007,342768303
1999,charli xcx & troye sivan,8008,342768303
cross you out (feat. sky ferreira),charli xcx,8009,342768303
gone,charli xcx & christine and the queens,8010,342768303
me! (feat. brendon urie of panic! at the disco),taylor swift,8011,342768303
you need to calm down,taylor swift,8012,342768303
the archer,taylor swift,8013,342768303
lover,taylor swift,8014,342768303
slide away,miley cyrus,8015,342768303
home (feat. bonn),martin garrix,8016,342768303
strangers,fletcher,8017,342768303
about you,fletcher,8018,342768303
all love,fletcher,8019,342768303
undrunk,fletcher,8020,342768303
if you're gonna lie,fletcher,8021,342768303
i wanna thank me,"snoop dogg, marknoxx",8022,342768303
ventalation,"snoop dogg, rjmrla, $tupid young, azjah",8023,342768303
little square ubitchu,"snoop dogg, anitta",8024,342768303
i've been looking for you,"snoop dogg, eric jaye",8025,342768303
do you like i do,"snoop dogg, lil duval",8026,342768303
main phone,"snoop dogg, rick rock, stressmatic",8027,342768303
doo wop thank me,"snoop dogg, the hamiltones",8028,342768303
wintertime in june,"snoop dogg, nate dogg",8029,342768303
rise to the top,"snoop dogg, trey songz, swizz beatz",8030,342768303
focused,snoop dogg,8031,342768303
first place,"snoop dogg, tdot illdude",8032,342768303
do it when i'm in it,"snoop dogg, jermaine dupri, ozuna, slim jxmmi",8033,342768303
take me away,"snoop dogg, russ, wiz khalifa",8034,342768303
new booty,snoop dogg,8035,342768303
blue face hunnids,"snoop dogg, yg, mustard",8036,342768303
turn me on,"snoop dogg, chris brown",8037,342768303
i c your bullshit,snoop dogg,8038,342768303
countdown,"snoop dogg, swizz beatz",8039,342768303
"one blood, one cuzz","snoop dogg, dj battlecat",8040,342768303
let bygones be bygones,snoop dogg,8041,342768303
so misinformed,"snoop dogg, slick rick",8042,342768303
what u talkin' bout,snoop dogg,8043,342768303
lonely,"illenium, chandler leighton",8044,342768303
angel (lonely prelude),illenium,8045,342768303
gorgeous,"illenium, blanke, bipolar sunshine",8046,342768303
in your arms,"illenium, x ambassadors",8047,342768303
pray,"illenium, kameron alexander",8048,342768303
sad songs,"illenium, said the sky, annika wells",8049,342768303
takeaway,"the chainsmokers, illenium, lennon stella",8050,342768303
every piece of me,"illenium, echos",8051,342768303
broken ones,"illenium, anna clendening",8052,342768303
crashing,"illenium, bahari",8053,342768303
all together,"illenium, oekiin",8054,342768303
take you down,illenium,8055,342768303
blood,"illenium, foy vance",8056,342768303
that’s why,"illenium, goldn",8057,342768303
good things fall apart,"illenium, jon bellion",8058,342768303
hold on,"illenium, georgia ku",8059,342768303
i care (intro),illenium,8060,342768303
"dreams, fairytales, fantasies","a$ap ferg, brent faiyaz, salaam remi",8061,342768303
ride,"a$ap ferg, ty dolla $ign",8062,342768303
hummer limo,a$ap ferg,8063,342768303
pups,"a$ap ferg, a$ap rocky",8064,342768303
butt naked,"a$ap ferg, rico nasty",8065,342768303
wigs,"a$ap ferg, asian doll",8066,342768303
wam,"a$ap ferg, madeintyo",8067,342768303
jet lag,a$ap ferg,8068,342768303
floor seats,a$ap ferg,8069,342768303
hit,"quality control, yrn murk",8070,342768303
ain't nuthin,"quality control, street bud",8071,342768303
murda,"quality control, domingo, duke deuce",8072,342768303
get em in,"quality control, offset, mango foo",8073,342768303
testament,"quality control, jordan hollywood",8074,342768303
shoulder,"quality control, dayytona fox, yrn lingo",8075,342768303
bait,"quality control, kollision",8076,342768303
killin' time,"quality control, lil yachty, offset, mango foo",8077,342768303
grab a...,"quality control, duke deuce, tay keith",8078,342768303
big bag,"quality control, marlo",8079,342768303
menace,"quality control, migos, lil yachty",8080,342768303
yeh,"quality control, duke deuce",8081,342768303
longtime,"quality control, 24heavy, young thug",8082,342768303
soakin wet,"quality control, offset, marlo, city girls",8083,342768303
come on,"quality control, saweetie, city girls, dj durel",8084,342768303
stripper bowl,"quality control, migos",8085,342768303
wiggle it,"french montana, city girls",8086,342768303
ride,"quality control, lil baby, rylo rodriguez, 24heavy",8087,342768303
leave em alone,"quality control, lil baby, layton greene, city girls, pnb rock",8088,342768303
magellanic,"quality control, takeoff",8089,342768303
virgil,"quality control, quavo",8090,342768303
big rocks,"quality control, offset, young thug",8091,342768303
like that,"quality control, stefflon don, city girls, renni rucci, mustard",8092,342768303
bless em,"quality control, takeoff, travis scott",8093,342768303
double trouble,"quality control, quavo, meek mill",8094,342768303
100 racks,"quality control, offset, playboi carti",8095,342768303
dead man walking,"quality control, lil yachty",8096,342768303
pink toes,"quality control, offset, dababy, gunna",8097,342768303
back on,"quality control, lil baby",8098,342768303
i suppose,"quality control, takeoff",8099,342768303
